OBJECTID,LOCNUM,SALESVOL,X,Y
461,396146698,71807,-97.41329999999991,32.67590000000011
462,686427220,35903,-97.43379999999995,32.75000000000007
463,366731347,23935,-97.43089999999997,32.81170000000002
464,243105293,59839,-97.14229999999993,32.590500000000155
465,616496725,47871,-97.35459999999992,32.75610000000014
466,981224116,27526,-97.16979999999995,32.75830000000015
467,596300293,43084,-97.1357,32.683900000000115
468,637968926,44280,-97.06209999999997,32.64440000000014
469,243183191,52658,-96.93459999999999,32.60170000000002
470,403696321,28722,-97.00939999999997,32.67670000000006
471,578486615,2393,-97.2594999999999,32.889700000000076
472,425508191,47871,-97.18379999999992,32.83650000000016
473,217064757,47631,-97.18809999999995,32.90830000000011
474,243105624,23935,-97.10439999999991,32.880400000000115
475,496574013,49068,-97.08749999999999,32.930900000000136
476,230024176,35903,-96.99079999999998,32.83930000000009
477,439675238,35903,-96.97229999999998,32.85020000000002
478,402304220,35903,-96.95879999999993,32.914000000000115
479,214970022,65823,-97.08309999999992,33.067500000000045
480,682018668,71807,-96.97059999999995,33.01190000000006
481,366777241,31834,-96.83779999999996,32.42180000000006
482,667509137,35903,-96.86449999999995,32.64910000000008
483,482844057,83774,-96.79099999999997,32.80410000000014
484,230023780,37339,-96.62159999999994,32.81090000000009
485,662947068,32552,-96.85429999999998,32.86240000000003
486,261454995,1196,-96.8542,32.95120000000005
487,009764846,71807,-96.74999999999994,32.85690000000009
488,588444547,59839,-96.74509999999998,32.86580000000008
489,008816209,27765,-96.81289999999998,32.92790000000009
490,582002945,35903,-96.82709999999996,33.0304000000001
491,690861422,47871,-96.88649999999994,33.066200000000066
492,243105491,44280,-96.76819999999994,32.9827000000001
493,382334076,1675,-96.6998,32.94030000000005
494,667525539,35903,-96.55760000000001,32.90790000000003
495,217391978,26329,-96.64619999999992,32.965400000000095
496,009764465,47871,-96.7077,33.037400000000105
497,531289361,3350,-96.68159999999993,33.09990000000009
498,401683414,35903,-96.59339999999995,33.011200000000024
499,982674871,28722,-96.46939999999995,32.89360000000011
500,419022470,31116,-94.71979999999996,31.314000000000078
501,651624165,35903,-95.30889999999995,32.273200000000045
502,649725280,38297,-94.72509999999996,32.54820000000013
503,008816183,33509,-98.53389999999993,33.86490000000003
504,433165201,33089,-98.49219999999997,34.63140000000001
505,626588552,35903,-97.09939999999992,33.19130000000013
506,694542259,35903,-96.8445,33.17360000000012
507,561306556,4787,-96.80589999999992,33.106000000000115
508,634115695,59839,-96.73069999999991,33.1289000000001
509,693763625,5983,-96.65459999999993,33.128500000000045
510,646910638,71807,-96.63839999999999,33.22030000000004
511,243253952,29919,-96.61219999999996,33.68020000000008
512,623820743,83827,-97.48319999999998,35.235600000000034
513,684604077,33089,-97.76329999999996,35.48070000000006
514,406693643,33089,-97.49999999999996,35.319800000000015
515,006201081,33089,-97.52889999999995,35.41950000000002
516,673927364,33089,-97.56429999999996,35.52440000000013
517,673927430,22059,-97.39610000000002,35.43680000000005
518,673927380,30883,-97.63949999999991,35.55590000000008
519,673927414,220,-97.54769999999995,35.61260000000007
520,213155807,1102,-97.46399999999993,35.65270000000009
521,661309328,33089,-96.00319999999992,36.05630000000009
522,714967338,69488,-95.88419999999994,36.01920000000013
523,006833982,60664,-95.85609999999997,36.06090000000004
524,689053569,33089,-95.77649999999994,36.06690000000015
525,006209977,2205,-95.92049999999995,36.13770000000006
526,396820045,33089,-95.84399999999994,36.28920000000012
527,677464000,30917,-94.38789999999993,35.340600000000116
